Date,Open,High,Low,Close,Adj Close,Volume,Yesterday_Close
2020/4/8,65.684998,66.842499,65.307503,66.517502,66.005852,168895200,64.857498
2020/4/9,67.175003,67.517502,66.175003,66.997498,66.482155,162116400,66.517502
2020/4/13,67.077499,68.425003,66.457497,68.3125,67.787041,131022800,66.997498
2020/4/14,70,72.0625,69.512497,71.762497,71.210495,194994800,68.3125
2020/4/15,70.599998,71.582497,70.157501,71.107498,70.560539,131154400,71.762497
2020/4/16,71.845001,72.050003,70.587502,71.672501,71.121201,157125200,71.107498
2020/4/17,71.172501,71.737503,69.214996,70.699997,70.156174,215250000,71.672501
2020/4/20,69.487503,70.419998,69.212502,69.232498,68.699974,130015200,70.699997
2020/4/21,69.07,69.3125,66.357498,67.092499,66.576424,180991600,69.232498
2020/4/22,68.402496,69.474998,68.050003,69.025002,68.494064,117057200,67.092499
2020/4/23,68.967499,70.4375,68.717499,68.7575,68.228622,124814400,69.025002
2020/4/24,69.300003,70.752502,69.25,70.7425,70.198349,126508800,68.7575
2020/4/27,70.449997,71.135002,69.987503,70.792503,70.247971,117087600,70.7425
2020/4/28,71.269997,71.457497,69.550003,69.644997,69.109299,112004800,70.792503
2020/4/29,71.182503,72.417503,70.972504,71.932503,71.379196,137280800,69.644997
2020/4/30,72.489998,73.6325,72.087502,73.449997,72.885025,183064000,71.932503
2020/5/1,71.5625,74.75,71.462502,72.267502,71.711632,240616800,73.449997
2020/5/4,72.292503,73.422501,71.580002,73.290001,72.726265,133568000,72.267502
2020/5/5,73.764999,75.25,73.614998,74.389999,73.817802,147751200,73.290001
2020/5/6,75.114998,75.809998,74.717499,75.157501,74.579391,142333600,74.389999
2020/5/7,75.805,76.292503,75.4925,75.934998,75.350914,115215200,75.157501
2020/5/8,76.410004,77.587502,76.072502,77.532501,77.144394,134048000,75.934998
2020/5/11,77.025002,79.262497,76.809998,78.752502,78.358284,145946400,77.532501
2020/5/12,79.457497,79.922501,77.727501,77.852501,77.462791,162301200,78.752502
2020/5/13,78.037498,78.987503,75.802498,76.912498,76.527496,200622400,77.852501
2020/5/14,76.127502,77.447502,75.3825,77.385002,76.997635,158929200,76.912498
2020/5/15,75.087502,76.974998,75.052498,76.927498,76.542412,166348400,77.385002
2020/5/18,78.292503,79.125,77.580002,78.739998,78.345848,135372400,76.927498
2020/5/19,78.7575,79.629997,78.252502,78.285004,77.893127,101729600,78.739998
2020/5/20,79.169998,79.879997,79.129997,79.807503,79.408005,111504800,78.285004
2020/5/21,79.665001,80.222504,78.967499,79.212502,78.815979,102688800,79.807503
2020/5/22,78.942497,79.807503,78.837502,79.722504,79.323433,81803200,79.212502
2020/5/26,80.875,81.059998,79.125,79.182503,78.786133,125522000,79.722504
